P(. | Mr) = -0,00224442092245228
P(. | Dr) = -0,00643411000540986
P(to | owing) = -0,0102191651816861
P(to | belonging) = -0,0137882844856333
P(States | United) = -0,0147232568207063
P(of | instead) = -0,0152399665567368
P(of | economy) = -0,0184834056940131
P(. | M) = -0,0193051551953866
P(of | lapse) = -0,0234810958495229
P(to | regard) = -0,0258072636062855
P(. | S) = -0,0263289387223492
P(for | accounted) = -0,0263289387223492
P(. | &c) = -0,0266521947714402
P(, | Lastly) = -0,0280287236002435
P(of | sort) = -0,0280287236002435
P(Muller | Fritz) = -0,0299632233774432
P(me | informs) = -0,0299632233774432
P(that | believing) = -0,0299632233774432
P(to | alluded) = -0,0321846833714012
P(to | compelled) = -0,0321846833714012
P(to | inclined) = -0,0321846833714012
P(. | Alph) = -0,0347621062592119
P(, | moreover) = -0,0347621062592119
P(Archipelago | Malay) = -0,0347621062592119
P(. | W) = -0,0347621062592119
P(. | J) = -0,0377885608893998
P(of | destitute) = -0,0377885608893998
P(of | amount) = -0,0410368518880908
P(Plata | La) = -0,0413926851582251
P(to | According) = -0,0413926851582251
P(to | according) = -0,0431569170301498
P(from | proceeded) = -0,0457574905606751
P(of | incapable) = -0,0457574905606751
P(the | identically) = -0,0457574905606751
P(of | multitude) = -0,0492180226701816
P(to | allude) = -0,0511525224473813
P(for | Struggle) = -0,0511525224473813
P(, | Moreover) = -0,0532455119532251
P(from | descended) = -0,0543576623225927
P(fishes | star) = -0,0579919469776868
P(of | mode) = -0,0579919469776868
P(fish | cuttle) = -0,0579919469776868
P(of | traces) = -0,0579919469776868
P(of | host) = -0,0579919469776868
P(, | Again) = -0,0579919469776868
P(Hope | Good) = -0,0579919469776868
P(. | Prof) = -0,0579919469776868
P(of | hundreds) = -0,0579919469776868
P(of | piece) = -0,0669467896306132
P(, | contrary) = -0,0669467896306132
P(to | adhering) = -0,0669467896306132
P(to | tempted) = -0,0669467896306132
P(of | immutability) = -0,0669467896306132
P(as | regarded) = -0,0669467896306132
P(nests | birds') = -0,0669467896306132
P(. | e) = -0,0669467896306132
P(us | concerns) = -0,0669467896306132
P(of | stamp) = -0,0669467896306132
P(. | i) = -0,0669467896306132
P(. | R) = -0,0669467896306132
P(, | Examples) = -0,0669467896306132
P(of | piles) = -0,0669467896306132
P(of | midst) = -0,0669467896306132
P(of | top) = -0,0791812460476248
P(days | 28) = -0,0791812460476248
P(nerve | optic) = -0,0791812460476248
P(Fuego | del) = -0,0791812460476248
P(of | plenty) = -0,0791812460476248
P(del | Tierra) = -0,0791812460476248
P(, | palaeontologist) = -0,0791812460476248
P(glands | mammary) = -0,0791812460476248
P(to | pains) = -0,0791812460476248
P(frena | ovigerous) = -0,0791812460476248
P(Edwards | Milne) = -0,0791812460476248
P(own | plant's) = -0,0791812460476248
P(. | Rev) = -0,0791812460476248
P(. | H) = -0,0791812460476248
P(, | Himalaya) = -0,0791812460476248
P(of | survival) = -0,0791812460476248
P(. | lat) = -0,0791812460476248
P(to | communicated) = -0,0791812460476248
P(as | inasmuch) = -0,0791812460476248
P(whale | Greenland) = -0,0791812460476248
P(of | unity) = -0,0791812460476248
P(of | Groups) = -0,0791812460476248
P(variable | innately) = -0,0791812460476248
P(of | Divergence) = -0,0791812460476248
P(to | tend) = -0,0824102161778233
P(to | apt) = -0,090176630349088
P(, | PLANTS) = -0,0969100130080564
P(Forbes | Edward) = -0,0969100130080564
P(of | store) = -0,0969100130080564
P(, | marshes) = -0,0969100130080564
P(to | liable) = -0,0969100130080564
P(with | contact) = -0,0969100130080564
P(on | reflecting) = -0,0969100130080564
P(of | Changes) = -0,0969100130080564
P(, | bloodhound) = -0,0969100130080564
P(that | pretended) = -0,0969100130080564
P(, | porpoise) = -0,0969100130080564
P(that | imply) = -0,0969100130080564
P(duck | headed) = -0,0969100130080564
P(of | corner) = -0,0969100130080564
P(coloured | brightly) = -0,0969100130080564
P(connected | intimately) = -0,0969100130080564
P(as | thrice) = -0,0969100130080564
P(. | pl) = -0,0969100130080564
P(that | concluded) = -0,0969100130080564
P(of | millions) = -0,0969100130080564
P(Geoffroy | Isidore) = -0,0969100130080564
P(Circle | Polar) = -0,0969100130080564
P(of | capable) = -0,0969100130080564
P(has | research) = -0,0969100130080564
P(of | worthy) = -0,0969100130080564
P(. | C) = -0,0969100130080564
P(non | Natura) = -0,0969100130080564
P(of | editions) = -0,0969100130080564
P(by | wafted) = -0,0969100130080564
P(saltum | facit) = -0,0969100130080564
P(of | subversive) = -0,0969100130080564
P(of | dawn) = -0,0969100130080564
P(, | mammalia) = -0,0969100130080564
P(of | Independently) = -0,0969100130080564
P(of | writings) = -0,0969100130080564
P(to | Owing) = -0,0969100130080564
P(, | Thirdly) = -0,0969100130080564
P(to | relate) = -0,0969100130080564
P(of | Survival) = -0,0969100130080564
P(bird | frigate) = -0,0969100130080564
P(, | Secondly) = -0,0969100130080564
P(, | firstly) = -0,0969100130080564
P(headed | logger) = -0,0969100130080564
P(. | N) = -0,0969100130080564
P(in | cautious) = -0,104735350520013
P(. | E) = -0,104735350520013
P(with | accordance) = -0,106455330914287
P(with | furnished) = -0,10763387839983
P(of | absence) = -0,111973759443932
P(Gray | Asa) = -0,113943352306837
P(Wichura | Max) = -0,1249387366083
P(of | orifice) = -0,1249387366083
P(this | Beyond) = -0,1249387366083
P(birds | nestling) = -0,1249387366083
P(. | T) = -0,1249387366083
P(in | fluctuations) = -0,1249387366083
P(of | folds) = -0,1249387366083
